temporalpole L-precentral L
transversetemporal L-precentral L
inferiorparietal L-precentral L
precuneus L-precentral L
superiorparietal L-precentral L
supramarginal L-precentral L
paracentral L-precentral L
postcentral L-precentral L
caudalanteriorcingulate L-cuneus L
isthmuscingulate L-cuneus L
posteriorcingulate L-cuneus L
rostralanteriorcingulate L-cuneus L
frontalpole L-cuneus L
lateralorbitofrontal L-cuneus L
medialorbitofrontal L-cuneus L
parsorbitalis L-cuneus L
caudalmiddlefrontal L-cuneus L
parsopercularis L-cuneus L
parstriangularis L-cuneus L
rostralmiddlefrontal L-cuneus L
superiorfrontal L-cuneus L
bankssts L-cuneus L
entorhinal L-cuneus L
fusiform L-cuneus L
inferiortemporal L-cuneus L
insula L-cuneus L
middletemporal L-cuneus L
parahippocampal L-cuneus L
superiortemporal L-cuneus L
temporalpole L-cuneus L
transversetemporal L-cuneus L
inferiorparietal L-cuneus L
precuneus L-cuneus L
superiorparietal L-cuneus L
supramarginal L-cuneus L
paracentral L-cuneus L
postcentral L-cuneus L
precentral L-cuneus L
caudalanteriorcingulate L-lateraloccipital L
isthmuscingulate L-lateraloccipital L
posteriorcingulate L-lateraloccipital L
rostralanteriorcingulate L-lateraloccipital L
frontalpole L-lateraloccipital L
lateralorbitofrontal L-lateraloccipital L
medialorbitofrontal L-lateraloccipital L
parsorbitalis L-lateraloccipital L
caudalmiddlefrontal L-lateraloccipital L
parsopercularis L-lateraloccipital L
parstriangularis L-lateraloccipital L
rostralmiddlefrontal L-lateraloccipital L
superiorfrontal L-lateraloccipital L
bankssts L-lateraloccipital L
entorhinal L-lateraloccipital L
fusiform L-lateraloccipital L
inferiortemporal L-lateraloccipital L
insula L-lateraloccipital L
middletemporal L-lateraloccipital L
parahippocampal L-lateraloccipital L
superiortemporal L-lateraloccipital L
temporalpole L-lateraloccipital L
transversetemporal L-lateraloccipital L
inferiorparietal L-lateraloccipital L
precuneus L-lateraloccipital L
superiorparietal L-lateraloccipital L
supramarginal L-lateraloccipital L
paracentral L-lateraloccipital L
postcentral L-lateraloccipital L
precentral L-lateraloccipital L
cuneus L-lateraloccipital L
caudalanteriorcingulate L-lingual L
isthmuscingulate L-lingual L
posteriorcingulate L-lingual L
rostralanteriorcingulate L-lingual L
frontalpole L-lingual L
lateralorbitofrontal L-lingual L
medialorbitofrontal L-lingual L
parsorbitalis L-lingual L
caudalmiddlefrontal L-lingual L
parsopercularis L-lingual L
parstriangularis L-lingual L
rostralmiddlefrontal L-lingual L
superiorfrontal L-lingual L
bankssts L-lingual L
entorhinal L-lingual L
fusiform L-lingual L
inferiortemporal L-lingual L
insula L-lingual L
middletemporal L-lingual L
parahippocampal L-lingual L
superiortemporal L-lingual L
temporalpole L-lingual L
transversetemporal L-lingual L
inferiorparietal L-lingual L
precuneus L-lingual L
superiorparietal L-lingual L
supramarginal L-lingual L
paracentral L-lingual L
postcentral L-lingual L
precentral L-lingual L
cuneus L-lingual L
lateraloccipital L-lingual L
caudalanteriorcingulate L-pericalcarine L
isthmuscingulate L-pericalcarine L
posteriorcingulate L-pericalcarine L
rostralanteriorcingulate L-pericalcarine L
frontalpole L-pericalcarine L
lateralorbitofrontal L-pericalcarine L
medialorbitofrontal L-pericalcarine L
parsorbitalis L-pericalcarine L
caudalmiddlefrontal L-pericalcarine L
parsopercularis L-pericalcarine L
parstriangularis L-pericalcarine L
rostralmiddlefrontal L-pericalcarine L
superiorfrontal L-pericalcarine L
bankssts L-pericalcarine L
entorhinal L-pericalcarine L
fusiform L-pericalcarine L
inferiortemporal L-pericalcarine L
insula L-pericalcarine L
middletemporal L-pericalcarine L
parahippocampal L-pericalcarine L
superiortemporal L-pericalcarine L
temporalpole L-pericalcarine L
transversetemporal L-pericalcarine L
inferiorparietal L-pericalcarine L
precuneus L-pericalcarine L
superiorparietal L-pericalcarine L
supramarginal L-pericalcarine L
paracentral L-pericalcarine L
postcentral L-pericalcarine L
precentral L-pericalcarine L
cuneus L-pericalcarine L
lateraloccipital L-pericalcarine L
lingual L-pericalcarine L
caudalanteriorcingulate L-caudalanteriorcingulate R
isthmuscingulate L-caudalanteriorcingulate R
posteriorcingulate L-caudalanteriorcingulate R
rostralanteriorcingulate L-caudalanteriorcingulate R
frontalpole L-caudalanteriorcingulate R
lateralorbitofrontal L-caudalanteriorcingulate R
medialorbitofrontal L-caudalanteriorcingulate R
parsorbitalis L-caudalanteriorcingulate R
caudalmiddlefrontal L-caudalanteriorcingulate R
parsopercularis L-caudalanteriorcingulate R
parstriangularis L-caudalanteriorcingulate R
rostralmiddlefrontal L-caudalanteriorcingulate R
superiorfrontal L-caudalanteriorcingulate R
bankssts L-caudalanteriorcingulate R
entorhinal L-caudalanteriorcingulate R
fusiform L-caudalanteriorcingulate R
inferiortemporal L-caudalanteriorcingulate R
